bottom_0_0 bottom_1_0 bottom_2_0 bottom_3_0 bottom_4_0 bottom_5_0 bottom_6_0 bottom_7_0 bottom_8_0 bottom_9_0 bottom_10_0 bottom_11_0 bottom_12_0 bottom_13_0 bottom_14_0 bottom_15_0
bottom_0_1 bottom_1_1 bottom_2_1 bottom_3_1 bottom_4_1 bottom_5_1 bottom_6_1 bottom_7_1 bottom_8_1 bottom_9_1 bottom_10_1 bottom_11_1 bottom_12_1 bottom_13_1 bottom_14_1 bottom_15_1
bottom_0_2 bottom_1_2 bottom_2_2 bottom_3_2 bottom_4_2 bottom_5_2 bottom_6_2 bottom_7_2 bottom_8_2 bottom_9_2 bottom_10_2 bottom_11_2 bottom_12_2 bottom_13_2 bottom_14_2 bottom_15_2
bottom_0_3 bottom_1_3 bottom_2_3 bottom_3_3 bottom_4_3 bottom_5_3 bottom_6_3 bottom_7_3 bottom_8_3 bottom_9_3 bottom_10_3 bottom_11_3 bottom_12_3 bottom_13_3 bottom_14_3 bottom_15_3
side_left_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0
side_left_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1
side_left_0_2 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0
side_left_0_3 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1
side_left_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0
side_left_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1
side_left_0_2 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0
side_left_0_3 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1
side_left_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0
side_left_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1
side_left_0_2 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0 mid_0_0 mid_1_0
side_left_0_3 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1 mid_0_1 mid_1_1
